name,rank,year,count,gender,percent
ANDREA,1,1999,10336,m,3.914617704
FRANCESCO,2,1999,9494,m,3.595721796
ALESSANDRO,3,1999,9000,m,3.408626096
MATTEO,4,1999,8703,m,3.296141435
LUCA,5,1999,7799,m,2.953763881
LORENZO,6,1999,7499,m,2.840143011
MARCO,7,1999,7002,m,2.651911103
DAVIDE,8,1999,6418,m,2.430729143
SIMONE,9,1999,6379,m,2.41595843
GIUSEPPE,10,1999,5510,m,2.086836643
ANTONIO,11,1999,4943,m,1.872093199
RICCARDO,12,1999,4634,m,1.755063703
MATTIA,13,1999,4497,m,1.70317684
ALESSIO,14,1999,4453,m,1.686512445
FEDERICO,15,1999,4315,m,1.634246845
GIOVANNI,16,1999,4094,m,1.550546138
GABRIELE,17,1999,4039,m,1.529715645
MICHELE,18,1999,3611,m,1.367616537
DANIELE,19,1999,3334,m,1.262706601
STEFANO,20,1999,3063,m,1.160069081
LEONARDO,21,1999,2899,m,1.097956339
NICOLA,22,1999,2792,m,1.057431562
SALVATORE,23,1999,2702,m,1.023345301
EMANUELE,24,1999,2693,m,1.019936675
FILIPPO,25,1999,2684,m,1.016528049
VINCENZO,26,1999,2678,m,1.014255632
GIACOMO,27,1999,2469,m,0.935099759
NICOLO,28,1999,2366,m,0.896089927
FABIO,29,1999,2275,m,0.86162493
EDOARDO,30,1999,2119,m,0.802542078
CHRISTIAN,31,1999,2105,m,0.79723977
PIETRO,32,1999,2075,m,0.785877683
TOMMASO,33,1999,2009,m,0.760881092
ALBERTO,34,1999,1992,m,0.754442576
SAMUELE,35,1999,1985,m,0.751791422
GIANLUCA,36,1999,1976,m,0.748382796
LUIGI,37,1999,1970,m,0.746110379
PAOLO,38,1999,1919,m,0.726794831
MANUEL,39,1999,1851,m,0.701040767
DOMENICO,40,1999,1640,m,0.621127422
ROBERTO,41,1999,1582,m,0.599160721
ENRICO,42,1999,1511,m,0.572270448
CRISTIAN,43,1999,1407,m,0.53288188
MARIO,44,1999,1384,m,0.524170946
ANGELO,45,1999,1345,m,0.509400233
RAFFAELE,46,1999,1277,m,0.483646169
ALEX,47,1999,1264,m,0.478722598
GIORGIO,48,1999,1235,m,0.467739248
JACOPO,49,1999,1220,m,0.462058204
PASQUALE,50,1999,1113,m,0.421533427
NICCOLO,51,1999,1077,m,0.407898923
MIRKO,52,1999,1072,m,0.406005242
DIEGO,53,1999,1052,m,0.398430517
MICHAEL,54,1999,1040,m,0.393885682
VALERIO,55,1999,995,m,0.376842552
THOMAS,56,1999,951,m,0.360178158
GIULIO,57,1999,897,m,0.339726401
CLAUDIO,58,1999,892,m,0.33783272
KEVIN,59,1999,881,m,0.333666621
CARLO,60,1999,876,m,0.33177294
GIANMARCO,61,1999,870,m,0.329500523
DANIEL,62,1999,848,m,0.321168326
DARIO,63,1999,773,m,0.292763108
NICHOLAS,64,1999,747,m,0.282915966
IVAN,65,1999,729,m,0.276098714
FABRIZIO,66,1999,720,m,0.272690088
ANTONINO,67,1999,704,m,0.266630308
GAETANO,68,1999,686,m,0.259813056
ELIA,69,1999,673,m,0.254889485
VITTORIO,70,1999,671,m,0.254132012
CARMINE,71,1999,627,m,0.237467618
SEBASTIANO,72,1999,623,m,0.235952673
DANILO,73,1999,587,m,0.222318169
GENNARO,74,1999,584,m,0.22118196
NICOLAS,75,1999,549,m,0.207926192
DAMIANO,76,1999,529,m,0.200351467
MASSIMILIANO,77,1999,524,m,0.198457786
CIRO,78,1999,520,m,0.196942841
SAMUEL,79,1999,497,m,0.188231908
MASSIMO,80,1999,483,m,0.182929601
VITO,81,1999,477,m,0.180657183
MAURO,82,1999,441,m,0.167022679
UMBERTO,83,1999,433,m,0.163992789
FRANCESCO PIO,84,1999,430,m,0.16285658
OMAR,85,1999,427,m,0.161720371
ROCCO,86,1999,424,m,0.160584163
ROSARIO,87,1999,406,m,0.153766911
GABRIEL,88,1999,364,m,0.137859989
DAVID,89,1999,339,m,0.128391583
COSIMO,90,1999,334,m,0.126497902
MIRCO,91,1999,324,m,0.122710539
CRISTIANO,92,1999,320,m,0.121195595
BRUNO,93,1999,309,m,0.117029496
ALFONSO,94,1999,306,m,0.115893287
CARMELO,95,1999,300,m,0.11362087
DENIS,96,1999,300,m,0.11362087
MARCELLO,97,1999,299,m,0.113242134
GIOELE,98,1999,297,m,0.112484661
LORIS,99,1999,297,m,0.112484661
FLAVIO,100,1999,294,m,0.111348452
MAURIZIO,101,1999,274,m,0.103773728
